id,number,name_en,type_element,rarity,expansion
48,48/102,Doduo,Colorless,Common,Base Set
49,49/102,Drowzee,Psychic,Common,Base Set
50,50/102,Gastly,Psychic,Common,Base Set
51,51/102,Koffing,Grass,Common,Base Set
52,52/102,Machop,Fighting,Common,Base Set
53,53/102,Magnemite,Lightning,Common,Base Set
54,54/102,Metapod,Grass,Common,Base Set
55,55/102,Nidoran♂,Grass,Common,Base Set
56,56/102,Onix,Fighting,Common,Base Set
57,57/102,Pidgey,Colorless,Common,Base Set
58,58/102,Pikachu,Lightning,Common,Base Set
59,59/102,Poliwag,Water,Common,Base Set
60,60/102,Ponyta,Fire,Common,Base Set
61,61/102,Rattata,Colorless,Common,Base Set
62,62/102,Sandshrew,Fighting,Common,Base Set
63,63/102,Squirtle,Water,Common,Base Set
64,64/102,Starmie,Water,Common,Base Set
65,65/102,Staryu,Water,Common,Base Set
66,66/102,Tangela,Grass,Common,Base Set
67,67/102,Voltorb,Lightning,Common,Base Set
68,68/102,Vulpix,Fire,Common,Base Set
69,69/102,Weedle,Grass,Common,Base Set
70,70/102,Clefairy Doll,T,Rare,Base Set
71,71/102,Computer Search,T,Rare,Base Set
72,72/102,Devolution Spray,T,Rare,Base Set
73,73/102,Impostor Professor Oak,T,Rare,Base Set
74,74/102,Item Finder,T,Rare,Base Set
75,75/102,Lass,T,Rare,Base Set
76,76/102,Pokémon Breeder,T,Rare,Base Set
77,77/102,Pokémon Trader,T,Rare,Base Set
78,78/102,Scoop Up,T,Rare,Base Set
79,79/102,Super Energy Removal,T,Rare,Base Set
80,80/102,Defender,T,Uncommon,Base Set
81,81/102,Energy Retrieval,T,Uncommon,Base Set
82,82/102,Full Heal,T,Uncommon,Base Set
83,83/102,Maintenance,T,Uncommon,Base Set
84,84/102,PlusPower,T,Uncommon,Base Set
85,85/102,Pokémon Center,T,Uncommon,Base Set
86,86/102,Pokémon Flute,T,Uncommon,Base Set
87,87/102,Pokédex,T,Uncommon,Base Set
88,88/102,Professor Oak,T,Uncommon,Base Set
89,89/102,Revive,T,Uncommon,Base Set
90,90/102,Super Potion,T,Uncommon,Base Set
91,91/102,Bill,T,Common,Base Set
92,92/102,Energy Removal,T,Common,Base Set
93,93/102,Gust of Wind,T,Common,Base Set
94,94/102,Potion,T,Common,Base Set
95,95/102,Switch,T,Common,Base Set
96,96/102,Double Colorless Energy,Colorless E,Uncommon,Base Set
97,97/102,Fighting Energy,Fighting E,—,Base Set
98,98/102,Fire Energy,Fire E,—,Base Set
99,99/102,Grass Energy,Grass E,—,Base Set
100,100/102,Lightning Energy,Lightning E,—,Base Set
101,101/102,Psychic Energy,Psychic E,—,Base Set
102,102/102,Water Energy,Water E,—,Base Set
103,1/64,Clefable,Colorless,Rare Holo,Jungle
104,2/64,Electrode,Lightning,Rare Holo,Jungle
105,3/64,Flareon,Fire,Rare Holo,Jungle
106,4/64,Jolteon,Lightning,Rare Holo,Jungle
107,5/64,Kangaskhan,Colorless,Rare Holo,Jungle
108,6/64,Mr. Mime,Psychic,Rare Holo,Jungle
109,7/64,Nidoqueen,Grass,Rare Holo,Jungle
110,8/64,Pidgeot,Colorless,Rare Holo,Jungle
111,9/64,Pinsir,Grass,Rare Holo,Jungle
112,10/64,Scyther,Grass,Rare Holo,Jungle
113,11/64,Snorlax,Colorless,Rare Holo,Jungle
114,12/64,Vaporeon,Water,Rare Holo,Jungle
115,13/64,Venomoth,Grass,Rare Holo,Jungle
116,14/64,Victreebel,Grass,Rare Holo,Jungle
117,15/64,Vileplume,Grass,Rare Holo,Jungle
118,16/64,Wigglytuff,Colorless,Rare Holo,Jungle
119,17/64,Clefable,Colorless,Rare,Jungle
120,18/64,Electrode,Lightning,Rare,Jungle
121,19/64,Flareon,Fire,Rare,Jungle
122,20/64,Jolteon,Lightning,Rare,Jungle
123,21/64,Kangaskhan,Colorless,Rare,Jungle
124,22/64,Mr. Mime,Psychic,Rare,Jungle
125,23/64,Nidoqueen,Grass,Rare,Jungle
126,24/64,Pidgeot,Colorless,Rare,Jungle
127,25/64,Pinsir,Grass,Rare,Jungle
128,26/64,Scyther,Grass,Rare,Jungle
129,27/64,Snorlax,Colorless,Rare,Jungle
130,28/64,Vaporeon,Water,Rare,Jungle
131,29/64,Venomoth,Grass,Rare,Jungle
132,30/64,Victreebel,Grass,Rare,Jungle
133,31/64,Vileplume,Grass,Rare,Jungle
134,32/64,Wigglytuff,Colorless,Rare,Jungle
135,33/64,Butterfree,Grass,Uncommon,Jungle
136,34/64,Dodrio,Colorless,Uncommon,Jungle
137,35/64,Exeggutor,Grass,Uncommon,Jungle
138,36/64,Fearow,Colorless,Uncommon,Jungle
139,37/64,Gloom,Grass,Uncommon,Jungle
140,38/64,Lickitung,Colorless,Uncommon,Jungle
141,39/64,Marowak,Fighting,Uncommon,Jungle
142,40/64,Nidorina,Grass,Uncommon,Jungle
143,41/64,Parasect,Grass,Uncommon,Jungle
144,42/64,Persian,Colorless,Uncommon,Jungle
145,43/64,Primeape,Fighting,Uncommon,Jungle
146,44/64,Rapidash,Fire,Uncommon,Jungle
147,45/64,Rhydon,Fighting,Uncommon,Jungle
148,46/64,Seaking,Water,Uncommon,Jungle
149,47/64,Tauros,Colorless,Uncommon,Jungle
150,48/64,Weepinbell,Grass,Uncommon,Jungle
151,49/64,Bellsprout,Grass,Common,Jungle
152,50/64,Cubone,Fighting,Common,Jungle
153,51/64,Eevee,Colorless,Common,Jungle
154,52/64,Exeggcute,Grass,Common,Jungle
155,53/64,Goldeen,Water,Common,Jungle
156,54/64,Jigglypuff,Colorless,Common,Jungle
157,55/64,Mankey,Fighting,Common,Jungle
158,56/64,Meowth,Colorless,Common,Jungle
159,57/64,Nidoran♀,Grass,Common,Jungle
160,58/64,Oddish,Grass,Common,Jungle
161,59/64,Paras,Grass,Common,Jungle
162,60/64,Pikachu,Lightning,Common,Jungle
163,61/64,Rhyhorn,Fighting,Common,Jungle
164,62/64,Spearow,Colorless,Common,Jungle
165,63/64,Venonat,Grass,Common,Jungle
166,64/64,Poké Ball,T,Common,Jungle
167,1/62,Aerodactyl,Fighting,Rare Holo,Fossil
168,2/62,Articuno,Water,Rare Holo,Fossil
169,3/62,Ditto,Colorless,Rare Holo,Fossil
170,4/62,Dragonite,Colorless,Rare Holo,Fossil
171,5/62,Gengar,Psychic,Rare Holo,Fossil
172,6/62,Haunter,Psychic,Rare Holo,Fossil
173,7/62,Hitmonlee,Fighting,Rare Holo,Fossil
174,8/62,Hypno,Psychic,Rare Holo,Fossil
175,9/62,Kabutops,Fighting,Rare Holo,Fossil
176,10/62,Lapras,Water,Rare Holo,Fossil
177,11/62,Magneton,Lightning,Rare Holo,Fossil
178,12/62,Moltres,Fire,Rare Holo,Fossil
179,13/62,Muk,Grass,Rare Holo,Fossil
180,14/62,Raichu,Lightning,Rare Holo,Fossil
181,15/62,Zapdos,Lightning,Rare Holo,Fossil
182,16/62,Aerodactyl,Fighting,Rare,Fossil
183,17/62,Articuno,Water,Rare,Fossil
184,18/62,Ditto,Colorless,Rare,Fossil
185,19/62,Dragonite,Colorless,Rare,Fossil
186,20/62,Gengar,Psychic,Rare,Fossil
187,21/62,Haunter,Psychic,Rare,Fossil
188,22/62,Hitmonlee,Fighting,Rare,Fossil
189,23/62,Hypno,Psychic,Rare,Fossil
190,24/62,Kabutops,Fighting,Rare,Fossil
191,25/62,Lapras,Water,Rare,Fossil
192,26/62,Magneton,Lightning,Rare,Fossil
193,27/62,Moltres,Fire,Rare,Fossil
194,28/62,Muk,Grass,Rare,Fossil
195,29/62,Raichu,Lightning,Rare,Fossil
196,30/62,Zapdos,Lightning,Rare,Fossil
197,31/62,Arbok,Grass,Uncommon,Fossil
198,32/62,Cloyster,Water,Uncommon,Fossil
199,33/62,Gastly,Psychic,Uncommon,Fossil
200,34/62,Golbat,Grass,Uncommon,Fossil
201,35/62,Golduck,Water,Uncommon,Fossil
202,36/62,Golem,Fighting,Uncommon,Fossil
203,37/62,Graveler,Fighting,Uncommon,Fossil
204,38/62,Kingler,Water,Uncommon,Fossil
205,39/62,Magmar,Fire,Uncommon,Fossil
206,40/62,Omastar,Water,Uncommon,Fossil
207,41/62,Sandslash,Fighting,Uncommon,Fossil
208,42/62,Seadra,Water,Uncommon,Fossil
209,43/62,Slowbro,Psychic,Uncommon,Fossil
210,44/62,Tentacruel,Water,Uncommon,Fossil
211,45/62,Weezing,Grass,Uncommon,Fossil
212,46/62,Ekans,Grass,Common,Fossil
213,47/62,Geodude,Fighting,Common,Fossil
214,48/62,Grimer,Grass,Common,Fossil
215,49/62,Horsea,Water,Common,Fossil
216,50/62,Kabuto,Fighting,Common,Fossil
217,51/62,Krabby,Water,Common,Fossil
218,52/62,Omanyte,Water,Common,Fossil
219,53/62,Psyduck,Water,Common,Fossil
220,54/62,Shellder,Water,Common,Fossil
221,55/62,Slowpoke,Psychic,Common,Fossil
222,56/62,Tentacool,Water,Common,Fossil
223,57/62,Zubat,Grass,Common,Fossil
224,58/62,Mr. Fuji,T,Uncommon,Fossil
225,59/62,Energy Search,T,Common,Fossil
226,60/62,Gambler,T,Common,Fossil
227,61/62,Recycle,T,Common,Fossil
228,62/62,Mysterious Fossil,T,Common,Fossil
229,1/130,Alakazam,Psychic,Rare Holo,Base Set 2
230,2/130,Blastoise,Water,Rare Holo,Base Set 2
231,3/130,Chansey,Colorless,Rare Holo,Base Set 2
232,4/130,Charizard,Fire,Rare Holo,Base Set 2
233,5/130,Clefable,Colorless,Rare Holo,Base Set 2
234,6/130,Clefairy,Colorless,Rare Holo,Base Set 2
235,7/130,Gyarados,Water,Rare Holo,Base Set 2
236,8/130,Hitmonchan,Fighting,Rare Holo,Base Set 2
237,9/130,Magneton,Lightning,Rare Holo,Base Set 2
238,10/130,Mewtwo,Psychic,Rare Holo,Base Set 2
239,11/130,Nidoking,Grass,Rare Holo,Base Set 2
240,12/130,Nidoqueen,Grass,Rare Holo,Base Set 2
241,13/130,Ninetales,Fire,Rare Holo,Base Set 2
242,14/130,Pidgeot,Colorless,Rare Holo,Base Set 2
243,15/130,Poliwrath,Water,Rare Holo,Base Set 2
244,16/130,Raichu,Lightning,Rare Holo,Base Set 2
245,17/130,Scyther,Grass,Rare Holo,Base Set 2
246,18/130,Venusaur,Grass,Rare Holo,Base Set 2
247,19/130,Wigglytuff,Colorless,Rare Holo,Base Set 2
248,20/130,Zapdos,Lightning,Rare Holo,Base Set 2
249,21/130,Beedrill,Grass,Rare,Base Set 2
250,22/130,Dragonair,Colorless,Rare,Base Set 2
251,23/130,Dugtrio,Fighting,Rare,Base Set 2
252,24/130,Electabuzz,Lightning,Rare,Base Set 2
253,25/130,Electrode,Lightning,Rare,Base Set 2
254,26/130,Kangaskhan,Colorless,Rare,Base Set 2
255,27/130,Mr. Mime,Psychic,Rare,Base Set 2
256,28/130,Pidgeotto,Colorless,Rare,Base Set 2
257,29/130,Pinsir,Grass,Rare,Base Set 2
258,30/130,Snorlax,Colorless,Rare,Base Set 2
259,31/130,Venomoth,Grass,Rare,Base Set 2
260,32/130,Victreebel,Grass,Rare,Base Set 2
261,33/130,Arcanine,Fire,Uncommon,Base Set 2
262,34/130,Butterfree,Grass,Uncommon,Base Set 2
263,35/130,Charmeleon,Fire,Uncommon,Base Set 2
264,36/130,Dewgong,Water,Uncommon,Base Set 2
265,37/130,Dodrio,Colorless,Uncommon,Base Set 2
266,38/130,Dratini,Colorless,Uncommon,Base Set 2
267,39/130,Exeggutor,Grass,Uncommon,Base Set 2
268,40/130,Farfetch'd,Colorless,Uncommon,Base Set 2
269,41/130,Fearow,Colorless,Uncommon,Base Set 2
270,42/130,Growlithe,Fire,Uncommon,Base Set 2
271,43/130,Haunter,Psychic,Uncommon,Base Set 2
272,44/130,Ivysaur,Grass,Uncommon,Base Set 2
273,45/130,Jynx,Psychic,Uncommon,Base Set 2
274,46/130,Kadabra,Psychic,Uncommon,Base Set 2
275,47/130,Kakuna,Grass,Uncommon,Base Set 2
276,48/130,Lickitung,Colorless,Uncommon,Base Set 2
277,49/130,Machoke,Fighting,Uncommon,Base Set 2
278,50/130,Magikarp,Water,Uncommon,Base Set 2
279,51/130,Magmar,Fire,Uncommon,Base Set 2
280,52/130,Marowak,Fighting,Uncommon,Base Set 2
281,53/130,Nidorina,Grass,Uncommon,Base Set 2
282,54/130,Nidorino,Grass,Uncommon,Base Set 2
283,55/130,Parasect,Grass,Uncommon,Base Set 2
284,56/130,Persian,Colorless,Uncommon,Base Set 2
285,57/130,Poliwhirl,Water,Uncommon,Base Set 2
286,58/130,Raticate,Colorless,Uncommon,Base Set 2
287,59/130,Rhydon,Fighting,Uncommon,Base Set 2
288,60/130,Seaking,Water,Uncommon,Base Set 2
289,61/130,Seel,Water,Uncommon,Base Set 2
290,62/130,Tauros,Colorless,Uncommon,Base Set 2
291,63/130,Wartortle,Water,Uncommon,Base Set 2
292,64/130,Weepinbell,Grass,Uncommon,Base Set 2
293,65/130,Abra,Psychic,Common,Base Set 2
294,66/130,Bellsprout,Grass,Common,Base Set 2
295,67/130,Bulbasaur,Grass,Common,Base Set 2
296,68/130,Caterpie,Grass,Common,Base Set 2
297,69/130,Charmander,Fire,Common,Base Set 2
298,70/130,Cubone,Fighting,Common,Base Set 2
299,71/130,Diglett,Fighting,Common,Base Set 2
300,72/130,Doduo,Colorless,Common,Base Set 2
301,73/130,Drowzee,Psychic,Common,Base Set 2
302,74/130,Exeggcute,Grass,Common,Base Set 2
303,75/130,Gastly,Psychic,Common,Base Set 2
304,76/130,Goldeen,Water,Common,Base Set 2
305,77/130,Jigglypuff,Colorless,Common,Base Set 2
306,78/130,Machop,Fighting,Common,Base Set 2
307,79/130,Magnemite,Lightning,Common,Base Set 2
308,80/130,Meowth,Colorless,Common,Base Set 2
309,81/130,Metapod,Grass,Common,Base Set 2
310,82/130,Nidoran♀,Grass,Common,Base Set 2
311,83/130,Nidoran♂,Grass,Common,Base Set 2
312,84/130,Onix,Fighting,Common,Base Set 2
313,85/130,Paras,Grass,Common,Base Set 2
314,86/130,Pidgey,Colorless,Common,Base Set 2
315,87/130,Pikachu,Lightning,Common,Base Set 2
316,88/130,Poliwag,Water,Common,Base Set 2
317,89/130,Rattata,Colorless,Common,Base Set 2
318,90/130,Rhyhorn,Fighting,Common,Base Set 2
319,91/130,Sandshrew,Fighting,Common,Base Set 2
320,92/130,Spearow,Colorless,Common,Base Set 2
321,93/130,Squirtle,Water,Common,Base Set 2
322,94/130,Starmie,Water,Common,Base Set 2
323,95/130,Staryu,Water,Common,Base Set 2
324,96/130,Tangela,Grass,Common,Base Set 2
325,97/130,Venonat,Grass,Common,Base Set 2
326,98/130,Voltorb,Lightning,Common,Base Set 2
327,99/130,Vulpix,Fire,Common,Base Set 2
328,100/130,Weedle,Grass,Common,Base Set 2
329,101/130,Computer Search,T,Rare,Base Set 2
330,102/130,Imposter Professor Oak,T,Rare,Base Set 2
331,103/130,Item Finder,T,Rare,Base Set 2
332,104/130,Lass,T,Rare,Base Set 2
333,105/130,Pokémon Breeder,T,Rare,Base Set 2
334,106/130,Pokémon Trader,T,Rare,Base Set 2
335,107/130,Scoop Up,T,Rare,Base Set 2
336,108/130,Super Energy Removal,T,Rare,Base Set 2
337,109/130,Defender,T,Uncommon,Base Set 2
338,110/130,Energy Retrieval,T,Uncommon,Base Set 2
339,111/130,Full Heal,T,Uncommon,Base Set 2
340,112/130,Maintenance,T,Uncommon,Base Set 2
341,113/130,PlusPower,T,Uncommon,Base Set 2
342,114/130,Pokémon Center,T,Uncommon,Base Set 2
343,115/130,Pokédex,T,Uncommon,Base Set 2
344,116/130,Professor Oak,T,Uncommon,Base Set 2
345,117/130,Super Potion,T,Uncommon,Base Set 2
346,118/130,Bill,T,Common,Base Set 2
347,119/130,Energy Removal,T,Common,Base Set 2
348,120/130,Gust of Wind,T,Common,Base Set 2
349,121/130,Poké Ball,T,Common,Base Set 2
350,122/130,Potion,T,Common,Base Set 2
351,123/130,Switch,T,Common,Base Set 2
352,124/130,Double Colorless Energy,Colorless E,Uncommon,Base Set 2
353,125/130,Fighting Energy,Fighting E,—,Base Set 2
354,126/130,Fire Energy,Fire E,—,Base Set 2
355,127/130,Grass Energy,Grass E,—,Base Set 2
356,128/130,Lightning Energy,Lightning E,—,Base Set 2
357,129/130,Psychic Energy,Psychic E,—,Base Set 2
358,130/130,Water Energy,Water E,—,Base Set 2
359,1/82,Dark Alakazam,Psychic,Rare Holo,Team Rocket
360,2/82,Dark Arbok,Grass,Rare Holo,Team Rocket
361,3/82,Dark Blastoise,Water,Rare Holo,Team Rocket
362,4/82,Dark Charizard,Fire,Rare Holo,Team Rocket
363,5/82,Dark Dragonite,Colorless,Rare Holo,Team Rocket
364,6/82,Dark Dugtrio,Fighting,Rare Holo,Team Rocket
365,7/82,Dark Golbat,Grass,Rare Holo,Team Rocket
366,8/82,Dark Gyarados,Water,Rare Holo,Team Rocket
367,9/82,Dark Hypno,Psychic,Rare Holo,Team Rocket
368,10/82,Dark Machamp,Fighting,Rare Holo,Team Rocket
369,11/82,Dark Magneton,Lightning,Rare Holo,Team Rocket
370,12/82,Dark Slowbro,Psychic,Rare Holo,Team Rocket
371,13/82,Dark Vileplume,Grass,Rare Holo,Team Rocket
372,14/82,Dark Weezing,Grass,Rare Holo,Team Rocket
373,15/82,Here Comes Team Rocket!,T,Rare Holo,Team Rocket
374,16/82,Rocket's Sneak Attack,T,Rare Holo,Team Rocket
375,17/82,Rainbow Energy,Rainbow E,Rare Holo,Team Rocket
376,18/82,Dark Alakazam,Psychic,Rare,Team Rocket
377,19/82,Dark Arbok,Grass,Rare,Team Rocket
378,20/82,Dark Blastoise,Water,Rare,Team Rocket
379,21/82,Dark Charizard,Fire,Rare,Team Rocket
380,22/82,Dark Dragonite,Colorless,Rare,Team Rocket
381,23/82,Dark Dugtrio,Fighting,Rare,Team Rocket
382,24/82,Dark Golbat,Grass,Rare,Team Rocket
383,25/82,Dark Gyarados,Water,Rare,Team Rocket
384,26/82,Dark Hypno,Psychic,Rare,Team Rocket
385,27/82,Dark Machamp,Fighting,Rare,Team Rocket
386,28/82,Dark Magneton,Lightning,Rare,Team Rocket
387,29/82,Dark Slowbro,Psychic,Rare,Team Rocket
388,30/82,Dark Vileplume,Grass,Rare,Team Rocket
389,31/82,Dark Weezing,Grass,Rare,Team Rocket
390,32/82,Dark Charmeleon,Fire,Uncommon,Team Rocket
391,33/82,Dark Dragonair,Colorless,Uncommon,Team Rocket
392,34/82,Dark Electrode,Lightning,Uncommon,Team Rocket
393,35/82,Dark Flareon,Fire,Uncommon,Team Rocket
394,36/82,Dark Gloom,Grass,Uncommon,Team Rocket
395,37/82,Dark Golduck,Water,Uncommon,Team Rocket
396,38/82,Dark Jolteon,Lightning,Uncommon,Team Rocket
397,39/82,Dark Kadabra,Psychic,Uncommon,Team Rocket
398,40/82,Dark Machoke,Fighting,Uncommon,Team Rocket
399,41/82,Dark Muk,Grass,Uncommon,Team Rocket
400,42/82,Dark Persian,Colorless,Uncommon,Team Rocket
401,43/82,Dark Primeape,Fighting,Uncommon,Team Rocket
402,44/82,Dark Rapidash,Fire,Uncommon,Team Rocket
403,45/82,Dark Vaporeon,Water,Uncommon,Team Rocket
404,46/82,Dark Wartortle,Water,Uncommon,Team Rocket
405,47/82,Magikarp,Water,Uncommon,Team Rocket
406,48/82,Porygon,Colorless,Uncommon,Team Rocket
407,49/82,Abra,Psychic,Common,Team Rocket
408,50/82,Charmander,Fire,Common,Team Rocket
409,51/82,Dark Raticate,Colorless,Common,Team Rocket
410,52/82,Diglett,Fighting,Common,Team Rocket
411,53/82,Dratini,Colorless,Common,Team Rocket
412,54/82,Drowzee,Psychic,Common,Team Rocket
413,55/82,Eevee,Colorless,Common,Team Rocket
414,56/82,Ekans,Grass,Common,Team Rocket
415,57/82,Grimer,Grass,Common,Team Rocket
416,58/82,Koffing,Grass,Common,Team Rocket
417,59/82,Machop,Fighting,Common,Team Rocket
418,60/82,Magnemite,Lightning,Common,Team Rocket
419,61/82,Mankey,Fighting,Common,Team Rocket
420,62/82,Meowth,Colorless,Common,Team Rocket
421,63/82,Oddish,Grass,Common,Team Rocket
422,64/82,Ponyta,Fire,Common,Team Rocket
423,65/82,Psyduck,Water,Common,Team Rocket
424,66/82,Rattata,Colorless,Common,Team Rocket
425,67/82,Slowpoke,Psychic,Common,Team Rocket
426,68/82,Squirtle,Water,Common,Team Rocket
427,69/82,Voltorb,Lightning,Common,Team Rocket
428,70/82,Zubat,Grass,Common,Team Rocket
429,71/82,Here Comes Team Rocket!,T,Rare,Team Rocket
430,72/82,Rocket's Sneak Attack,T,Rare,Team Rocket
431,73/82,The Boss's Way,T,Uncommon,Team Rocket
432,74/82,Challenge!,T,Uncommon,Team Rocket
433,75/82,Digger,T [R],Uncommon,Team Rocket
434,76/82,Imposter Oak's Revenge,T,Uncommon,Team Rocket
435,77/82,Nightly Garbage Run,T [R],Uncommon,Team Rocket
436,78/82,Goop Gas Attack,T,Common,Team Rocket
437,79/82,Sleep!,T [R],Common,Team Rocket
438,80/82,Rainbow Energy,Rainbow E,Rare,Team Rocket
439,81/82,Full Heal Energy,Colorless E,Uncommon,Team Rocket
440,82/82,Potion Energy,Colorless E,Uncommon,Team Rocket
441,83/82,Dark Raichu,Lightning,Rare Holo,Team Rocket
442,1/132,Blaine's Moltres,Fire,Rare Holo,Gym Heroes
443,2/132,Brock's Rhydon,Fighting,Rare Holo,Gym Heroes
444,3/132,Erika's Clefable,Colorless,Rare Holo,Gym Heroes
445,4/132,Erika's Dragonair,Colorless,Rare Holo,Gym Heroes
446,5/132,Erika's Vileplume,Grass,Rare Holo,Gym Heroes
447,6/132,Lt. Surge's Electabuzz,Lightning,Rare Holo,Gym Heroes
448,7/132,Lt. Surge's Fearow,Colorless,Rare Holo,Gym Heroes
449,8/132,Lt. Surge's Magneton,Lightning,Rare Holo,Gym Heroes
450,9/132,Misty's Seadra,Water,Rare Holo,Gym Heroes
451,10/132,Misty's Tentacruel,Water,Rare Holo,Gym Heroes
452,11/132,Rocket's Hitmonchan,Fighting,Rare Holo,Gym Heroes
453,12/132,Rocket's Moltres,Fire,Rare Holo,Gym Heroes
454,13/132,Rocket's Scyther,Grass,Rare Holo,Gym Heroes
455,14/132,Sabrina's Gengar,Psychic,Rare Holo,Gym Heroes
456,15/132,Brock,T,Rare Holo,Gym Heroes
457,16/132,Erika,T,Rare Holo,Gym Heroes
458,17/132,Lt. Surge,T,Rare Holo,Gym Heroes
459,18/132,Misty,T,Rare Holo,Gym Heroes
460,19/132,The Rocket's Trap,T,Rare Holo,Gym Heroes
461,20/132,Brock's Golem,Fighting,Rare,Gym Heroes
462,21/132,Brock's Onix,Fighting,Rare,Gym Heroes
463,22/132,Brock's Rhyhorn,Fighting,Rare,Gym Heroes
464,23/132,Brock's Sandslash,Fighting,Rare,Gym Heroes
465,24/132,Brock's Zubat,Grass,Rare,Gym Heroes
466,25/132,Erika's Clefairy,Colorless,Rare,Gym Heroes
467,26/132,Erika's Victreebel,Grass,Rare,Gym Heroes
468,27/132,Lt. Surge's Electabuzz,Lightning,Rare,Gym Heroes
469,28/132,Lt. Surge's Raichu,Lightning,Rare,Gym Heroes
470,29/132,Misty's Cloyster,Water,Rare,Gym Heroes
471,30/132,Misty's Goldeen,Water,Rare,Gym Heroes
472,31/132,Misty's Poliwrath,Water,Rare,Gym Heroes
473,32/132,Misty's Tentacool,Water,Rare,Gym Heroes
474,33/132,Rocket's Snorlax,Colorless,Rare,Gym Heroes
475,34/132,Sabrina's Venomoth,Grass,Rare,Gym Heroes
476,35/132,Blaine's Growlithe,Fire,Uncommon,Gym Heroes
477,36/132,Blaine's Kangaskhan,Colorless,Uncommon,Gym Heroes
478,37/132,Blaine's Magmar,Fire,Uncommon,Gym Heroes
479,38/132,Brock's Geodude,Fighting,Uncommon,Gym Heroes
480,39/132,Brock's Golbat,Grass,Uncommon,Gym Heroes
481,40/132,Brock's Graveler,Fighting,Uncommon,Gym Heroes
482,41/132,Brock's Lickitung,Colorless,Uncommon,Gym Heroes
483,42/132,Erika's Dratini,Colorless,Uncommon,Gym Heroes
484,43/132,Erika's Exeggcute,Grass,Uncommon,Gym Heroes
485,44/132,Erika's Exeggutor,Grass,Uncommon,Gym Heroes
486,45/132,Erika's Gloom,Grass,Uncommon,Gym Heroes
487,46/132,Erika's Gloom,Grass,Uncommon,Gym Heroes
488,47/132,Erika's Oddish,Grass,Uncommon,Gym Heroes
489,48/132,Erika's Weepinbell,Grass,Uncommon,Gym Heroes
490,49/132,Erika's Weepinbell,Grass,Uncommon,Gym Heroes
491,50/132,Lt. Surge's Magnemite,Lightning,Uncommon,Gym Heroes
492,51/132,Lt. Surge's Raticate,Colorless,Uncommon,Gym Heroes
493,52/132,Lt. Surge's Spearow,Colorless,Uncommon,Gym Heroes
494,53/132,Misty's Poliwhirl,Water,Uncommon,Gym Heroes
495,54/132,Misty's Psyduck,Water,Uncommon,Gym Heroes
496,55/132,Misty's Seaking,Water,Uncommon,Gym Heroes
497,56/132,Misty's Starmie,Water,Uncommon,Gym Heroes
498,57/132,Misty's Tentacool,Water,Uncommon,Gym Heroes
